时间,容量
20200406:13:20,32.64
20200406:13:30,32.64
20200406:13:40,32.64
20200406:13:50,32.64
20200406:14:00,32.64
20200406:14:10,32.64
20200406:14:20,32.64
20200406:14:30,32.64
20200406:14:40,32.64
20200406:14:50,32.64
20200406:15:00,32.64
20200406:15:10,32.64
20200406:15:20,32.64
20200406:15:30,32.64
20200406:15:40,32.64
20200406:15:50,32.64
20200406:16:00,32.64
20200406:16:10,32.64
20200406:16:20,32.64
20200406:16:30,32.64
20200406:16:40,32.64
20200406:16:50,32.64
20200406:17:00,32.64
20200406:17:10,32.64
20200406:17:20,32.64
20200406:17:30,32.64
20200406:17:40,32.64
20200406:17:50,32.64
20200406:18:00,32.64
20200406:18:10,32.64
20200406:18:20,32.64
20200406:18:30,32.64
20200406:18:40,32.64
20200406:18:50,32.64
20200406:19:00,32.64
20200406:19:10,32.64
20200406:19:20,32.64
20200406:19:30,32.64
20200406:19:40,32.64
20200406:19:50,32.64
20200406:20:00,32.64
20200406:20:10,32.64
20200406:20:20,32.64
20200406:20:30,32.64
20200406:20:40,32.64
20200406:20:50,32.64
20200406:21:00,32.64
20200406:21:10,32.64
20200406:21:20,32.65
20200406:21:30,32.65
20200406:21:40,32.65
20200406:21:50,32.65
20200406:22:00,32.65
20200406:22:10,32.65
20200406:22:20,32.65
20200406:22:30,32.65
20200406:22:40,32.65
20200406:22:50,32.65
20200406:23:00,32.65
20200406:23:10,32.65
20200406:23:20,32.65
20200406:23:30,32.65
20200406:23:40,32.65
20200406:23:50,32.65
20200407:00:00,32.64
20200407:00:10,32.64
20200407:00:20,32.64
20200407:00:30,32.64
20200407:00:40,32.64
20200407:00:50,32.64
20200407:01:00,32.64
20200407:01:10,32.64
20200407:01:20,32.64
20200407:01:30,32.64
20200407:01:40,32.64
20200407:01:50,32.64
20200407:02:00,32.64
20200407:02:10,32.64
20200407:02:20,32.64
20200407:02:30,32.64
20200407:02:40,32.64
20200407:02:50,32.64
20200407:03:00,32.64
20200407:03:10,32.64
20200407:03:20,32.64
20200407:03:30,32.64
20200407:03:40,32.64
20200407:03:50,32.64
20200407:04:00,32.64
20200407:04:10,32.64
20200407:04:20,32.64
20200407:04:30,32.64
20200407:04:40,32.64
20200407:04:50,32.64
20200407:05:00,32.64
20200407:05:10,32.64
20200407:05:20,32.64
20200407:05:30,32.64
20200407:05:40,32.64
20200407:05:50,32.64
20200407:06:00,32.64
20200407:06:10,32.64
20200407:06:20,32.64
20200407:06:30,32.64
20200407:06:40,32.64
20200407:06:50,32.64
20200407:07:00,32.64
20200407:07:10,32.64
20200407:07:20,32.64
20200407:07:30,32.64
20200407:07:40,32.64
20200407:07:50,32.64
20200407:08:00,32.64
20200407:08:10,32.64
20200407:08:20,32.64
20200407:08:30,32.64
20200407:08:40,32.64
20200407:08:50,32.64
20200407:09:00,32.35
20200407:09:10,32.35
20200407:09:20,32.38
20200407:09:30,32.44
20200407:09:40,32.48
20200407:09:50,32.48
20200407:10:00,32.48
20200407:10:10,32.49
20200407:10:20,32.5
20200407:10:30,32.5
20200407:10:40,32.51
20200407:10:50,32.52
20200407:11:00,32.62
20200407:11:10,32.53
20200407:11:20,32.54
20200407:11:30,32.55
20200407:11:40,32.55
20200407:11:50,32.55
20200407:12:00,32.55
20200407:12:10,32.55
20200407:12:20,32.55
20200407:12:30,32.55
20200407:12:40,32.55
20200407:12:50,32.55
20200407:13:00,32.55
20200407:13:10,32.62
20200407:13:20,32.56
20200407:13:30,32.56
20200407:13:40,32.62
20200407:13:50,32.62
20200407:14:00,32.62
20200407:14:10,32.62
20200407:14:20,32.62
20200407:14:30,32.62
20200407:14:40,32.62
20200407:14:50,32.62
20200407:15:00,32.62
20200407:15:10,32.62
20200407:15:20,32.62
20200407:15:30,32.62
20200407:15:40,32.62
20200407:15:50,32.62
20200407:16:00,32.62
20200407:16:10,32.62
20200407:16:20,32.62
20200407:16:30,32.62
20200407:16:40,32.62
20200407:16:50,32.62
20200407:17:00,32.62
20200407:17:10,32.62
20200407:17:20,32.62
20200407:17:30,32.62
20200407:17:40,32.56
20200407:17:50,32.36
20200407:18:00,32.31
20200407:18:10,32.36
20200407:18:20,32.74
20200407:18:30,32.68
20200407:18:40,32.69
20200407:18:50,32.7
20200407:19:00,32.62
20200407:19:10,32.71
20200407:19:20,32.72
20200407:19:30,32.72
20200407:19:40,32.72
20200407:19:50,32.72
20200407:20:00,32.72
20200407:20:10,32.72
20200407:20:20,32.72
20200407:20:30,32.72
20200407:20:40,32.72
20200407:20:50,32.72
20200407:21:00,32.72
20200407:21:10,32.72
20200407:21:20,32.72
20200407:21:30,32.72
20200407:21:40,32.72
20200407:21:50,32.72
20200407:22:00,32.72
20200407:22:10,32.72
20200407:22:20,32.72
20200407:22:30,32.72
20200407:22:40,32.72
20200407:22:50,32.72
20200407:23:00,32.72
20200407:23:10,32.72
20200407:23:20,32.72
20200407:23:30,32.72
20200407:23:40,32.72
20200407:23:50,32.72
20200408:00:00,32.7
20200408:00:10,32.69
20200408:00:20,32.69
20200408:00:30,32.69
20200408:00:40,32.69
20200408:00:50,32.69
20200408:01:00,32.69
20200408:01:10,32.69
20200408:01:20,32.69
20200408:01:30,32.69
20200408:01:40,32.69
20200408:01:50,32.69
20200408:02:00,32.69
20200408:02:10,32.69
20200408:02:20,32.69
20200408:02:30,32.69
20200408:02:40,32.69
20200408:02:50,32.69
20200408:03:00,32.69
20200408:03:10,32.69
20200408:03:20,32.69
20200408:03:30,32.69
20200408:03:40,32.69
20200408:03:50,32.69
20200408:04:00,32.69
20200408:04:10,32.69
20200408:04:20,32.69
20200408:04:30,32.69
