时间,容量
2019-12-28:06,470745295.93546915
2019-12-28:08,470788422.64758897
2019-12-28:10,470829022.9370807
2019-12-28:12,470890854.6894917
2019-12-28:14,470946007.6039959
2019-12-28:16,470967127.77307385
2019-12-28:18,470983041.91382337
2019-12-28:20,470997908.19359285
2019-12-28:22,471014365.2389017
2019-12-29:00,471035367.8288259
2019-12-29:02,471079348.43004435
2019-12-29:04,471146588.4788652
2019-12-29:06,471170450.1434879
2019-12-29:08,471197773.8811453
2019-12-29:10,471333812.11754435
2019-12-29:12,471376282.9261921
2019-12-29:14,471404444.09842783
2019-12-29:16,471425694.6807517
2019-12-29:18,471441231.9506813
2019-12-29:20,471455980.9280137
2019-12-29:22,471566345.07552606
2019-12-30:00,472006595.1503042
2019-12-30:02,472629933.0441299
2019-12-30:04,472999557.9483491
2019-12-30:06,473534609.66763663
2019-12-30:08,473760063.8450862
2019-12-30:10,473905004.38831246
2019-12-30:12,473956437.6887577
2019-12-30:14,474035005.62967765
2019-12-30:16,474085435.4086352
2019-12-30:18,474103068.9310534
2019-12-30:20,474119199.91800344
2019-12-30:22,474203853.0101532
2019-12-31:00,475115382.5998295
2019-12-31:02,475820069.45792735
2019-12-31:04,476186866.3673216
2019-12-31:06,476619778.82388645
2019-12-31:08,477392302.07146215
2019-12-31:10,478066091.44245255
2019-12-31:12,478491933.4786297
2019-12-31:14,478582977.5343816
2019-12-31:16,479037325.8709644
2019-12-31:18,479057668.6108227
2019-12-31:20,479074147.24734
2019-12-31:22,479092632.3893069
2020-01-01:00,479471698.56852716
2020-01-01:02,479720185.56677157
2020-01-01:04,479870361.22783035
2020-01-01:06,479922421.8529871
2020-01-01:08,480190388.0830451
2020-01-01:10,480234957.818868
2020-01-01:12,480270604.7460165
2020-01-01:14,480302563.49859816
2020-01-01:16,480324864.755123
2020-01-01:18,480341027.53810275
2020-01-01:20,480356237.94669807
2020-01-01:22,480468023.8809016
2020-01-02:00,481145398.15558624
2020-01-02:02,482366177.3549791
2020-01-02:04,482827987.36510766
2020-01-02:06,483398308.58770967
2020-01-02:08,484429081.62621844
2020-01-02:10,484685997.49333084
2020-01-02:12,484823205.9178199
2020-01-02:14,484924127.57459414
2020-01-02:16,484988150.52260214
2020-01-02:18,485015093.77387285
2020-01-02:20,485039978.46027243
2020-01-02:22,485162532.71063775
2020-01-03:00,485875051.80470383
2020-01-03:02,486885598.900144
2020-01-03:04,487232807.1214624
2020-01-03:06,487703266.0744496
2020-01-03:08,487954232.14115584
2020-01-03:10,488057550.2769783
2020-01-03:12,488175952.2654872
2020-01-03:14,488317650.49564993
2020-01-03:16,488381608.38254714
2020-01-03:18,488408350.4443004
2020-01-03:20,488433194.0156316
