时间,容量
20200409:15:50,74.36
20200409:16:00,74.36
20200409:16:10,74.36
20200409:16:20,74.36
20200409:16:30,74.36
20200409:16:40,74.36
20200409:16:50,74.36
20200409:17:00,74.81
20200409:17:10,74.81
20200409:17:20,74.81
20200409:17:30,74.81
20200409:17:40,74.81
20200409:17:50,74.81
20200409:18:00,74.81
20200409:18:10,74.81
20200409:18:20,74.81
20200409:18:30,74.81
20200409:18:40,74.81
20200409:18:50,74.81
20200409:19:00,74.81
20200409:19:10,74.81
20200409:19:20,74.81
20200409:19:30,74.81
20200409:19:40,74.81
20200409:19:50,74.81
20200409:20:00,74.81
20200409:20:10,74.81
20200409:20:20,74.81
20200409:20:30,74.81
20200409:20:40,74.81
20200409:20:50,74.81
20200409:21:00,74.81
20200409:21:10,74.81
20200409:21:20,74.81
20200409:21:30,74.81
20200409:21:40,74.81
20200409:21:50,74.81
20200409:22:00,74.49
20200409:22:10,74.83
20200409:22:20,74.83
20200409:22:30,74.83
20200409:22:40,74.83
20200409:22:50,74.83
20200409:23:00,74.83
20200409:23:10,74.83
20200409:23:20,74.83
20200409:23:30,74.83
20200409:23:40,74.83
20200409:23:50,74.83
20200410:00:00,74.83
20200410:00:10,74.83
20200410:00:20,74.85
20200410:00:30,74.87
20200410:00:40,74.87
20200410:00:50,74.87
20200410:01:00,74.87
20200410:01:10,74.87
20200410:01:20,74.87
20200410:01:30,74.87
20200410:01:40,74.87
20200410:01:50,74.87
20200410:02:00,74.87
20200410:02:10,74.87
20200410:02:20,74.87
20200410:02:30,74.87
20200410:02:40,74.87
20200410:02:50,74.87
20200410:03:00,74.87
20200410:03:10,74.87
20200410:03:20,74.87
20200410:03:30,74.87
20200410:03:40,74.87
20200410:03:50,74.87
20200410:04:00,74.87
20200410:04:10,74.87
20200410:04:20,74.85
20200410:04:30,74.87
20200410:04:40,74.87
20200410:04:50,74.85
20200410:05:00,74.87
20200410:05:10,74.87
20200410:05:20,74.87
20200410:05:30,74.87
20200410:05:40,74.87
20200410:05:50,74.87
20200410:06:00,74.87
20200410:06:10,74.87
20200410:06:20,74.87
20200410:06:30,74.87
20200410:06:40,74.87
20200410:06:50,74.87
20200410:07:00,74.87
20200410:07:10,74.87
20200410:07:20,74.87
20200410:07:30,74.87
20200410:07:40,74.87
20200410:07:50,74.85
20200410:08:00,74.87
20200410:08:10,74.87
20200410:08:20,74.87
20200410:08:30,74.87
20200410:08:40,74.87
20200410:08:50,74.87
20200410:09:00,74.87
20200410:09:10,74.87
20200410:09:20,74.87
20200410:09:30,74.84
20200410:09:40,74.84
20200410:09:50,74.84
20200410:10:00,74.84
20200410:10:10,74.84
20200410:10:20,74.84
20200410:10:30,74.84
20200410:10:40,74.84
20200410:10:50,74.84
20200410:11:00,74.85
20200410:11:10,74.84
20200410:11:20,74.84
20200410:11:30,74.84
20200410:11:40,74.84
20200410:11:50,74.84
20200410:12:00,74.84
20200410:12:10,74.84
20200410:12:20,74.84
20200410:12:30,74.84
20200410:12:40,74.84
20200410:12:50,74.84
20200410:13:00,74.84
20200410:13:10,74.84
20200410:13:20,74.84
20200410:13:30,74.84
20200410:13:40,74.84
20200410:13:50,74.84
20200410:14:00,74.84
20200410:14:10,74.84
20200410:14:20,74.84
20200410:14:30,74.84
20200410:14:40,74.84
20200410:14:50,74.84
20200410:15:00,74.84
20200410:15:10,74.84
20200410:15:20,74.85
20200410:15:30,74.84
20200410:15:40,74.84
20200410:15:50,74.84
20200410:16:00,74.84
20200410:16:10,74.85
20200410:16:20,74.84
20200410:16:30,74.85
20200410:16:40,74.84
20200410:16:50,74.85
20200410:17:00,74.85
20200410:17:10,74.84
20200410:17:20,74.84
20200410:17:30,74.84
20200410:17:40,74.84
20200410:17:50,74.84
20200410:18:00,74.84
20200410:18:10,74.84
20200410:18:20,74.84
20200410:18:30,74.84
20200410:18:40,74.84
20200410:18:50,74.84
20200410:19:00,74.84
20200410:19:10,74.84
20200410:19:20,74.84
20200410:19:30,74.84
20200410:19:40,74.84
20200410:19:50,74.84
20200410:20:00,74.84
20200410:20:10,74.84
20200410:20:20,74.84
20200410:20:30,74.84
20200410:20:40,74.84
20200410:20:50,74.84
20200410:21:00,74.84
20200410:21:10,74.84
20200410:21:20,74.84
20200410:21:30,74.84
20200410:21:40,74.84
20200410:21:50,74.84
20200410:22:00,74.85
20200410:22:10,74.85
20200410:22:20,74.85
20200410:22:30,74.85
20200410:22:40,74.85
20200410:22:50,74.85
20200410:23:00,74.85
20200410:23:10,74.85
20200410:23:20,74.85
20200410:23:30,74.85
20200410:23:40,74.85
20200410:23:50,74.85
20200411:00:00,74.85
20200411:00:10,74.85
20200411:00:20,74.85
20200411:00:30,74.85
20200411:00:40,74.85
20200411:00:50,74.85
20200411:01:00,74.85
20200411:01:10,74.85
20200411:01:20,74.85
20200411:01:30,74.85
20200411:01:40,74.85
20200411:01:50,74.85
20200411:02:00,74.85
20200411:02:10,74.85
20200411:02:20,74.85
20200411:02:30,74.85
20200411:02:40,74.85
20200411:02:50,74.85
20200411:03:00,74.85
20200411:03:10,74.85
20200411:03:20,74.85
20200411:03:30,74.85
20200411:03:40,74.85
20200411:03:50,74.85
20200411:04:00,74.85
20200411:04:10,74.85
20200411:04:20,74.85
20200411:04:30,74.85
20200411:04:40,74.85
20200411:04:50,74.85
20200411:05:00,74.85
20200411:05:10,74.85
20200411:05:20,74.85
20200411:05:30,74.85
20200411:05:40,74.85
20200411:05:50,74.85
20200411:06:00,74.85
20200411:06:10,74.85
20200411:06:20,75.09
20200411:06:30,75.39
20200411:06:40,75.39
20200411:06:50,75.39
20200411:07:00,75.39
20200411:07:10,75.39
20200411:07:20,75.39
20200411:07:30,75.39
20200411:07:40,75.39
20200411:07:50,75.39
20200411:08:00,75.39
20200411:08:10,75.39
20200411:08:20,75.39
20200411:08:30,75.39
20200411:08:40,75.39
20200411:08:50,75.39
20200411:09:00,75.39
20200411:09:10,75.39
20200411:09:20,75.39
20200411:09:30,75.39
20200411:09:40,75.39
20200411:09:50,75.39
20200411:10:00,75.39
20200411:10:10,75.39
20200411:10:20,75.4
20200411:10:30,75.39
20200411:10:40,75.39
20200411:10:50,75.4
20200411:11:00,75.39
20200411:11:10,75.39
20200411:11:20,75.39
20200411:11:30,75.39
20200411:11:40,75.39
20200411:11:50,75.39
20200411:12:00,75.4
20200411:12:10,75.4
20200411:12:20,75.4
20200411:12:30,75.4
20200411:12:40,75.4
20200411:12:50,75.4
20200411:13:00,75.4
20200411:13:10,75.4
20200411:13:20,75.4
20200411:13:30,75.4
20200411:13:40,75.4
20200411:13:50,75.4
20200411:14:00,75.4
20200411:14:10,75.4
20200411:14:20,75.4
20200411:14:30,75.4
20200411:14:40,75.4
20200411:14:50,75.4
20200411:15:00,75.4
20200411:15:10,75.4
20200411:15:20,75.4
20200411:15:30,75.4
20200411:15:40,75.4
20200411:15:50,75.4
20200411:16:00,75.4
