时间,容量
2019-12-15:18,45651312.81557914
2019-12-15:20,45672803.54076258
2019-12-15:22,45726666.12554013
2019-12-16:00,45972666.29918762
2019-12-16:02,46428826.69969864
2019-12-16:04,46687110.77433177
2019-12-16:06,46974091.11736111
2019-12-16:08,47266756.79557128
2019-12-16:10,47519461.62041405
2019-12-16:12,47574593.60061584
2019-12-16:14,47618313.67338836
2019-12-16:16,47651360.70986634
2019-12-16:18,47674626.51960167
2019-12-16:20,47697104.99681603
2019-12-16:22,47848873.86935214
2019-12-17:00,48155399.30714099
2019-12-17:02,48573394.95117925
2019-12-17:04,48807141.65075997
2019-12-17:06,49032363.17338836
2019-12-17:08,49122930.38153826
2019-12-17:10,49178485.96652253
2019-12-17:12,49254876.45179507
2019-12-17:14,49300282.44648846
2019-12-17:16,49334374.87194707
2019-12-17:18,49358224.38718553
2019-12-17:20,49381562.29673742
2019-12-17:22,49578017.9615049
2019-12-18:00,49753647.49848815
2019-12-18:02,50122956.10682652
2019-12-18:04,50260168.87214361
2019-12-18:06,50473998.58615042
2019-12-18:08,50597488.74440514
2019-12-18:10,50658263.59630503
2019-12-18:12,50725045.64789045
2019-12-18:14,50769352.30657756
2019-12-18:16,50803752.25888366
2019-12-18:18,50827936.26415094
2019-12-18:20,50851456.9250262
2019-12-18:22,51039783.5654056
2019-12-19:00,51270884.61131042
2019-12-19:02,51614517.67536687
2019-12-19:04,51734425.67511793
2019-12-19:06,51896216.59821802
2019-12-19:08,52007013.57304768
2019-12-19:10,52068297.1101284
2019-12-19:12,52128416.85588312
2019-12-19:14,52171939.4091981
2019-12-19:16,52204923.36723008
2019-12-19:18,52228236.47531448
2019-12-19:20,52250909.96654874
2019-12-19:22,52422233.65913581
2019-12-20:00,52626224.65088563
2019-12-20:02,52859668.34935796
2019-12-20:04,53009550.368317604
2019-12-20:06,53215054.13578354
2019-12-20:08,53321863.78200995
2019-12-20:10,53362177.45854298
2019-12-20:12,53407669.19056605
2019-12-20:14,53455068.7879193
2019-12-20:16,53489017.1033674
2019-12-20:18,53514442.14494236
2019-12-20:20,53539196.3971174
2019-12-20:22,53564988.32755394
2019-12-21:00,53721956.65727202
2019-12-21:02,53799379.73867924
2019-12-21:04,53844841.78143344
2019-12-21:06,53902238.17823637
2019-12-21:08,53949266.35662998
2019-12-21:10,53987413.19357966
2019-12-21:12,54016166.77346699
2019-12-21:14,54044470.06477988
2019-12-21:16,54070761.24498166
2019-12-21:18,54095410.75403466
2019-12-21:20,54118600.54656709
2019-12-21:22,54140478.78900693
2019-12-22:00,54168017.29553197
2019-12-22:02,54211390.31618187
2019-12-22:04,54241325.23930817
2019-12-22:06,54287236.12881289
2019-12-22:08,54326982.79452307
2019-12-22:10,54377588.88903301
2019-12-22:12,54419232.61378406
2019-12-22:14,54467115.53295335
2019-12-22:16,54494287.40640722
2019-12-22:18,54518969.29090669
2019-12-22:20,54543067.90803198
2019-12-22:22,54568364.76978006
2019-12-23:00,54632626.22218292
2019-12-23:02,54847253.37004715
2019-12-23:04,54957506.18787998
2019-12-23:06,55126818.20980084
2019-12-23:08,55368311.22801362
2019-12-23:10,55416131.95195229
2019-12-23:12,55460104.35446803
2019-12-23:14,55560275.98347746
2019-12-23:16,55592471.88414571
2019-12-23:18,55613990.34969863
2019-12-23:20,55634755.30748166
2019-12-23:22,55693223.57334142
2019-12-24:00,56042101.61525157
2019-12-24:02,56341002.72460692
2019-12-24:04,56456046.84026468
2019-12-24:06,56643924.00917191
2019-12-24:08,56731183.44838836
2019-12-24:10,56819274.06028564
2019-12-24:12,56878524.07017819
2019-12-24:14,56921402.97756814
2019-12-24:16,56954043.22143606
2019-12-24:18,56977058.74488994
2019-12-24:20,56999350.98763103
2019-12-24:22,57056821.63657425
2019-12-25:00,57268704.881019495
2019-12-25:02,57587986.19874214
2019-12-25:04,57721150.93352425
2019-12-25:06,57943425.874541394
2019-12-25:08,58037977.78029351
2019-12-25:10,58077522.44599056
2019-12-25:12,58138098.12372903
2019-12-25:14,58173262.43227201
2019-12-25:16,58201096.76576259
2019-12-25:18,58224040.993710704
2019-12-25:20,58245274.92311319
2019-12-25:22,58308028.41196711
2019-12-26:00,58616222.64144392
2019-12-26:02,58818424.20695754
2019-12-26:04,58958617.38726416
2019-12-26:06,59141159.24368566
2019-12-26:08,59250373.51935273
2019-12-26:10,59304416.85376049
2019-12-26:12,59404540.39278039
2019-12-26:14,59448595.96794599
2019-12-26:16,59482322.79052673
2019-12-26:18,59506174.07530136
2019-12-26:20,59529443.27680818
2019-12-26:22,59591119.58458426
2019-12-27:00,59908541.37475105
2019-12-27:02,60141746.18646488
2019-12-27:04,60293296.30520176
2019-12-27:06,60472052.89851938
2019-12-27:08,60557482.46247382
2019-12-27:10,60593661.40922431
2019-12-27:12,60629801.57859015
2019-12-27:14,60669873.62836739
2019-12-27:16,60701481.20837264
2019-12-27:18,60724317.06307653
2019-12-27:20,60746257.39247903
2019-12-27:22,60769571.25056782
2019-12-28:00,60925383.0884696
2019-12-28:02,61030472.79694708
2019-12-28:04,61098608.29254454
2019-12-28:06,61137601.70554245
2019-12-28:08,61169946.89352726
2019-12-28:10,61199562.33650419
2019-12-28:12,61234865.40643346
2019-12-28:14,61268030.40693135
2019-12-28:16,61291815.33105347
2019-12-28:18,61313162.19093292
2019-12-28:20,61334695.94916141
2019-12-28:22,61356579.32057294
2019-12-29:00,61380879.90866089
2019-12-29:02,61411812.09450996
2019-12-29:04,61448255.471147805
2019-12-29:06,61472504.90452044
2019-12-29:08,61498653.22237944
